index,occupation_isomap_x,occupation_isomap_y,occupation_tsne_x,occupation_tsne_y,occupation_umap_x,occupation_umap_y
water,-0.7727688441536292,0.6586334870396278,116.01598,50.9262,7.1394444,-11.498577000000001
coffee,2.1378153825584976,-0.09326972122232352,-28.869373,-229.56065,15.755039000000002,2.5851545
tea,-0.8868109176494581,-0.12279436239862315,83.489426,90.67556,6.8282356,-11.0200615
juice,1.6038248838599256,-0.049036134675239686,-60.58096999999999,-224.90918,15.762345000000002,2.1375222000000003
milk,-0.8124039525393077,0.28255163519381954,94.89163,70.000206,7.494673700000001,-11.090232
soda,1.4115773898538055,-0.04443212200463932,-54.849354000000005,-168.81717,15.58875,1.2413834
energy drink,1.5291008371052095,-0.02233971733344397,-73.73931,-152.20134,15.001595499999999,1.4491717
milkshake,0.7972832593813032,-0.012512921150933571,-22.829045999999998,-127.48082,14.41872,1.0714469
smoothie,1.1531896520222045,0.00801749087101588,-45.89529,-134.9772,14.869425,1.0259801
alcohol,-1.6011445629747765,-0.3700460342751344,158.62668,179.8425,8.359686,-9.052817999999998
liquor,-1.4099144615600014,0.256146803405893,128.87111000000002,111.69126000000001,7.700092999999999,-10.271286
beer,1.901320689963614,-0.07645843626647676,-41.59061,-205.7753,15.255378,2.2470917999999998
wine,-1.740552322082349,-0.23391252123747086,131.5634,157.5518,8.16736,-9.470583
cider,1.4760270820071122,-0.03999495222358965,-71.336845,-189.92155,15.431470000000001,1.8135327
vodka,-1.8592146211636131,-0.453720742135129,132.86128,185.45318999999998,8.743656,-9.284142
rum,-0.9262415812107528,0.24983504998416275,118.58066000000001,87.077774,7.2126083,-10.692025
whiskey,-0.057801443504528975,0.04354588824443351,75.84373000000001,37.19594,7.665061,-11.445858
champagne,-1.9432864699132568,0.019787310184045236,157.29898,150.82953999999998,8.463381,-9.660898
